?"Activitate","Tev?kenys?g","Activity","Year","Value"
"Intermedieri Financiare ?i Asigur?ri","P?nz?gyi K?zvet?t?s ?s Biztos?t?s","Financial Intermediation And Insurance","2020","10746"
"Intermedieri Financiare ?i Asigur?ri","P?nz?gyi K?zvet?t?s ?s Biztos?t?s","Financial Intermediation And Insurance","2021","13580"
"Intermedieri Financiare ?i Asigur?ri","P?nz?gyi K?zvet?t?s ?s Biztos?t?s","Financial Intermediation And Insurance","2022","14352"
"Intermedieri Financiare ?i Asigur?ri","P?nz?gyi K?zvet?t?s ?s Biztos?t?s","Financial Intermediation And Insurance","2023","15421"
"Tehnologia Informa?iei ?i Comunica?ii","Inform?ci?s ?s Kommunik?ci?s Technol?gia","Information Technology And Communications","2013","4390"
"Tehnologia Informa?iei ?i Comunica?ii","Inform?ci?s ?s Kommunik?ci?s Technol?gia","Information Technology And Communications","2014","4019"
"Tehnologia Informa?iei ?i Comunica?ii","Inform?ci?s ?s Kommunik?ci?s Technol?gia","Information Technology And Communications","2015","4134"
"Tehnologia Informa?iei ?i Comunica?ii","Inform?ci?s ?s Kommunik?ci?s Technol?gia","Information Technology And Communications","2016","3704"
"Tehnologia Informa?iei ?i Comunica?ii","Inform?ci?s ?s Kommunik?ci?s Technol?gia","Information Technology And Communications","2017","3321"
"Tehnologia Informa?iei ?i Comunica?ii","Inform?ci?s ?s Kommunik?ci?s Technol?gia","Information Technology And Communications","2018","3441"
"Tehnologia Informa?iei ?i Comunica?ii","Inform?ci?s ?s Kommunik?ci?s Technol?gia","Information Technology And Communications","2019","3481"
"Tehnologia Informa?iei ?i Comunica?ii","Inform?ci?s ?s Kommunik?ci?s Technol?gia","Information Technology And Communications","2020","3419"
"Tehnologia Informa?iei ?i Comunica?ii","Inform?ci?s ?s Kommunik?ci?s Technol?gia","Information Technology And Communications","2021","4161"
"Tehnologia Informa?iei ?i Comunica?ii","Inform?ci?s ?s Kommunik?ci?s Technol?gia","Information Technology And Communications","2022","4356"
"Tehnologia Informa?iei ?i Comunica?ii","Inform?ci?s ?s Kommunik?ci?s Technol?gia","Information Technology And Communications","2023","4940"
"Transporturi","Sz?ll?t?s","Transportation","2013","971"
"Transporturi","Sz?ll?t?s","Transportation","2014","1080"
"Transporturi","Sz?ll?t?s","Transportation","2015","1124"
"Transporturi","Sz?ll?t?s","Transportation","2016","1247"
"Transporturi","Sz?ll?t?s","Transportation","2017","1281"
"Transporturi","Sz?ll?t?s","Transportation","2018","1274"
"Transporturi","Sz?ll?t?s","Transportation","2019","1484"
"Transporturi","Sz?ll?t?s","Transportation","2020","1426"
"Transporturi","Sz?ll?t?s","Transportation","2021","1453"
"Transporturi","Sz?ll?t?s","Transportation","2022","1484"
"Transporturi","Sz?ll?t?s","Transportation","2023","1766"
"Alte Activit??i","Egy?b Tev?kenys?gek","Other Activities","2013","310"
"Alte Activit??i","Egy?b Tev?kenys?gek","Other Activities","2014","418"
"Alte Activit??i","Egy?b Tev?kenys?gek","Other Activities","2015","444"
"Alte Activit??i","Egy?b Tev?kenys?gek","Other Activities","2016","516"
"Alte Activit??i","Egy?b Tev?kenys?gek","Other Activities","2017","462"
"Alte Activit??i","Egy?b Tev?kenys?gek","Other Activities","2018","552"
"Alte Activit??i","Egy?b Tev?kenys?gek","Other Activities","2019","448"
"Alte Activit??i","Egy?b Tev?kenys?gek","Other Activities","2020","438"
"Alte Activit??i","Egy?b Tev?kenys?gek","Other Activities","2021","793"
"Alte Activit??i","Egy?b Tev?kenys?gek","Other Activities","2022","883"
"Alte Activit??i","Egy?b Tev?kenys?gek","Other Activities","2023","766"
